id,produit,champ,ce que dit la fiche
two-stacks-double-irish-cream-liqueur,Two Stacks — Double Irish Cream Liqueur,visuel,Couleur non vérifiable : bouteille noire opaque
maison-cabanel-cabanel-menthe,Maison Cabanel — Cabanel Menthe,cepages (partiel),Liqueur aromatisée à la menthe ; recette et proportions non communiquées
maison-cabanel-cabanel-menthe,Maison Cabanel — Cabanel Menthe,nez (partiel),Menthe ; détail aromatique complémentaire non communiqué
maison-cabanel-cabanel-menthe,Maison Cabanel — Cabanel Menthe,bouche (partiel),Profil mentholé ; description détaillée non communiquée
maison-cabanel-cabanel-mandarine,Maison Cabanel — Cabanel Mandarine,cepages (partiel),Liqueur aromatisée à la mandarine ; recette et proportions non communiquées
maison-cabanel-cabanel-citron,Maison Cabanel — Cabanel Citron,cepages (partiel),Liqueur aromatisée au citron ; recette et proportions non communiquées
maison-cabanel-cabanel-citron,Maison Cabanel — Cabanel Citron,bouche (partiel),Profil citronné et frais ; description gustative détaillée non communiquée
francois-lurton-leonce-vermouth-rose-criolla,François Lurton — Léonce Vermouth Rosé - Criolla,cepages (partiel),Vin de cépage Criolla ; plantes et écorce de quinquina. Proportions non communiquées
francois-lurton-leonce-vermouth-extra-dry-sauvignon,François Lurton — Léonce Vermouth Extra Dry - Sauvignon,cepages (partiel),"Vin et distillat de Sauvignon Blanc ; plantes et agrumes, dont quinquina, pamplemousse, citron vert, réglisse, absinthe,"
recapet-bas-armagnac-vsop-domaine-de-2015,Récapet — Bas-Armagnac VSOP - Domaine de,millesime (partiel),"Assemblage de 2015 et 2016, à parts égales ; aucun millésime unique"
recapet-bas-armagnac-colombard,Récapet — Bas-Armagnac - Colombard,bouche (partiel),Profil floral et fruité ; notes complémentaires non communiquées
maison-boutelleau-cognac-vsop,Maison Boutelleau — Cognac VSOP,cepages (partiel),Eau-de-vie de vin sous appellation Cognac ; cépage non communiqué. Vieillissement d’au moins quatre ans en fûts français
cez-red-shiraz-grenache-cinsault-2022,"CEZ Red — Shiraz, Grenache & Cinsault",cepages (partiel),"Shiraz, Grenache et Cinsault — contre-étiquette photographiée ; proportions du millésime 2022 non vérifiées"
cez-red-shiraz-grenache-cinsault-2022,"CEZ Red — Shiraz, Grenache & Cinsault",visuel (partiel),Rouge fruité ; nuance exacte non documentée pour le millésime 2022
ernst-gouws-co-chenin-blanc-2023,Ernst Gouws & Co — Chenin Blanc,visuel,Couleur précise du millésime 2023 non documentée par la fiche officielle consultée
vina-eguia-rioja-tempranillo-2022,Viña Eguía — Rioja Tempranillo,cepages,Tempranillo indiqué sur l’étiquette. Présence d’autres cépages non établie pour cette bouteille
vina-eguia-rioja-tempranillo-2022,Viña Eguía — Rioja Tempranillo,alcool,Non lisible de manière suffisamment fiable sur la photographie
pradorey-origen-2023,Pradorey — Origen,cepages (partiel),"Tempranillo, Cabernet Sauvignon et Merlot indiqués par une fiche commerciale 2023 ; proportions exactes du millésime non"
pradorey-origen-2023,Pradorey — Origen,visuel (partiel),Robe rouge ; nuance précise du millésime 2023 non trouvée dans une source fiable
codorniu-red-grenache-organic-wine,Codorníu — Red Grenache Organic Wine,visuel (partiel),Rouge rubis ; nuance précise non confirmée par une fiche producteur
serum-ancon-10-anos,Sérum Ancon 10 Años,producteur (partiel),Marque Sérum ; fabricant juridique précis non communiqué. Distribution France : Pardela Spirits
serum-ancon-10-anos,Sérum Ancon 10 Años,cepages,"Assemblage de rhums panaméens, vieillis au minimum 10 ans en anciens fûts de bourbon. Matière première précise non docum"
serum-ancon-10-anos,Sérum Ancon 10 Años,visuel (partiel),Rhum ambré foncé ; teinte exacte non décrite par le producteur
oaoa-lagoon-delight,OAOA Lagoon Delight,producteur (partiel),OAOA ; marque distribuée par Pardela Spirits. Distillerie précise non communiquée
oaoa-lagoon-delight,OAOA Lagoon Delight,origine (partiel),France selon la référence commerciale retrouvée ; origine géographique du rhum de base non documentée
oaoa-lagoon-delight,OAOA Lagoon Delight,cepages,"Rhum blanc infusé de jus d'ananas frais, citron vert, mandarine, vanille, gingembre et épices. Composition exhaustive et"
la-progresiva-de-vigia-mezcla-13,La Progresiva de Vigía Mezcla 13,visuel (partiel),Robe ambrée ; nuance exacte non précisée par le producteur
black-tears-super-dry,Black Tears Super Dry,cepages,Rhum blanc cubain issu de la canne à sucre. Détail exact de la matière première et durée de vieillissement non confirmés
bistro-vodka-la-fine-vodka,Bistro Vodka - La Fine Vodka,producteur (partiel),"Marque Bistro, distribuée par Pardela Spirits / Domaines François Lurton ; distillerie précise non communiquée"
acto-1903-special-reserve-6-ans,ACTO 1903 Special Reserve - 6 ans,producteur (partiel),Pardela Rum Collection / Pardela Spirits ; distillerie panaméenne précise non communiquée
vina-progreso-revolution-albarino-2020-2020,Viña Progreso Revolution Albariño 2020,nez,Information détaillée non trouvée dans une source officielle accessible
